,img_id,obj_id,"(x, y)",color,shape,size
0,0,0,[65 17],"(0, 0, 255)",r,5
1,0,1,[53 13],"(0, 255, 0)",r,5
2,0,2,[69 31],"(255, 0, 0)",r,5
3,0,3,[32 47],"(0, 156, 255)",c,5
4,0,4,[53 58],"(128, 128, 128)",c,5
5,0,5,[19 50],"(0, 255, 255)",r,5
6,1,0,[33 20],"(0, 0, 255)",c,5
7,1,1,[18 31],"(0, 255, 0)",c,5
8,1,2,[56 28],"(255, 0, 0)",c,5
9,1,3,[15 56],"(0, 156, 255)",c,5
10,1,4,[ 7 41],"(128, 128, 128)",c,5
11,1,5,[27 61],"(0, 255, 255)",c,5
12,2,0,[63 26],"(0, 0, 255)",c,5
13,2,1,[39 44],"(0, 255, 0)",r,5
14,2,2,[16 64],"(255, 0, 0)",r,5
15,2,3,[7 8],"(0, 156, 255)",c,5
16,2,4,[15 32],"(128, 128, 128)",r,5
17,2,5,[ 6 66],"(0, 255, 255)",c,5
18,3,0,[17 35],"(0, 0, 255)",c,5
19,3,1,[66 62],"(0, 255, 0)",r,5
20,3,2,[12 47],"(255, 0, 0)",c,5
21,3,3,[ 8 58],"(0, 156, 255)",c,5
22,3,4,[17 64],"(128, 128, 128)",c,5
23,3,5,[39 55],"(0, 255, 255)",r,5
24,4,0,[26 48],"(0, 0, 255)",r,5
25,4,1,[ 8 11],"(0, 255, 0)",c,5
26,4,2,[ 6 23],"(255, 0, 0)",r,5
27,4,3,[58 12],"(0, 156, 255)",r,5
28,4,4,[51 30],"(128, 128, 128)",r,5
29,4,5,[39 60],"(0, 255, 255)",r,5
30,5,0,[68 16],"(0, 0, 255)",c,5
31,5,1,[17 54],"(0, 255, 0)",r,5
32,5,2,[59 46],"(255, 0, 0)",c,5
33,5,3,[36 38],"(0, 156, 255)",c,5
34,5,4,[14  6],"(128, 128, 128)",r,5
35,5,5,[24 16],"(0, 255, 255)",r,5
36,6,0,[46 28],"(0, 0, 255)",r,5
37,6,1,[40 63],"(0, 255, 0)",r,5
38,6,2,[34 19],"(255, 0, 0)",r,5
39,6,3,[ 6 54],"(0, 156, 255)",r,5
40,6,4,[62 24],"(128, 128, 128)",c,5
41,6,5,[56 69],"(0, 255, 255)",c,5
42,7,0,[65 13],"(0, 0, 255)",r,5
43,7,1,[44 23],"(0, 255, 0)",c,5
44,7,2,[ 8 51],"(255, 0, 0)",r,5
45,7,3,[45 36],"(0, 156, 255)",r,5
46,7,4,[47 67],"(128, 128, 128)",r,5
47,7,5,[28 21],"(0, 255, 255)",c,5
48,8,0,[36 11],"(0, 0, 255)",r,5
49,8,1,[23 50],"(0, 255, 0)",c,5
50,8,2,[69 58],"(255, 0, 0)",r,5
51,8,3,[48 55],"(0, 156, 255)",c,5
52,8,4,[47 18],"(128, 128, 128)",r,5
53,8,5,[12  5],"(0, 255, 255)",r,5
54,9,0,[10 18],"(0, 0, 255)",c,5
55,9,1,[13 43],"(0, 255, 0)",r,5
56,9,2,[64 10],"(255, 0, 0)",c,5
57,9,3,[30 11],"(0, 156, 255)",c,5
58,9,4,[20 64],"(128, 128, 128)",r,5
59,9,5,[55 46],"(0, 255, 255)",c,5
60,10,0,[13 52],"(0, 0, 255)",c,5
61,10,1,[32 14],"(0, 255, 0)",r,5
62,10,2,[23 66],"(255, 0, 0)",r,5
63,10,3,[40 40],"(0, 156, 255)",c,5
64,10,4,[61 58],"(128, 128, 128)",c,5
65,10,5,[53 26],"(0, 255, 255)",r,5
66,11,0,[12 11],"(0, 0, 255)",r,5
67,11,1,[33 48],"(0, 255, 0)",r,5
68,11,2,[33 11],"(255, 0, 0)",c,5
69,11,3,[58 18],"(0, 156, 255)",r,5
70,11,4,[59 55],"(128, 128, 128)",c,5
71,11,5,[53 43],"(0, 255, 255)",r,5
72,12,0,[62 39],"(0, 0, 255)",r,5
73,12,1,[56 29],"(0, 255, 0)",c,5
74,12,2,[52 43],"(255, 0, 0)",c,5
75,12,3,[43 36],"(0, 156, 255)",r,5
76,12,4,[13 41],"(128, 128, 128)",c,5
77,12,5,[44 24],"(0, 255, 255)",c,5
78,13,0,[36 69],"(0, 0, 255)",c,5
79,13,1,[60 64],"(0, 255, 0)",r,5
80,13,2,[61 31],"(255, 0, 0)",r,5
81,13,3,[35 57],"(0, 156, 255)",c,5
82,13,4,[ 5 56],"(128, 128, 128)",r,5
83,13,5,[15 44],"(0, 255, 255)",r,5
84,14,0,[18 54],"(0, 0, 255)",r,5
85,14,1,[16 17],"(0, 255, 0)",r,5
86,14,2,[64 18],"(255, 0, 0)",r,5
87,14,3,[36 24],"(0, 156, 255)",c,5
88,14,4,[30 69],"(128, 128, 128)",r,5
89,14,5,[23 41],"(0, 255, 255)",r,5
90,15,0,[53 19],"(0, 0, 255)",r,5
91,15,1,[45 50],"(0, 255, 0)",c,5
92,15,2,[68  5],"(255, 0, 0)",r,5
93,15,3,[28 60],"(0, 156, 255)",c,5
94,15,4,[64 45],"(128, 128, 128)",r,5
95,15,5,[42  7],"(0, 255, 255)",c,5
96,16,0,[39 48],"(0, 0, 255)",c,5
97,16,1,[45 65],"(0, 255, 0)",r,5
98,16,2,[50 23],"(255, 0, 0)",r,5
99,16,3,[31 65],"(0, 156, 255)",c,5
100,16,4,[28  6],"(128, 128, 128)",c,5
101,16,5,[67 56],"(0, 255, 255)",c,5
102,17,0,[52 66],"(0, 0, 255)",c,5
103,17,1,[62 69],"(0, 255, 0)",c,5
104,17,2,[28  6],"(255, 0, 0)",r,5
105,17,3,[7 9],"(0, 156, 255)",c,5
106,17,4,[13 19],"(128, 128, 128)",c,5
107,17,5,[33 39],"(0, 255, 255)",c,5
108,18,0,[63 53],"(0, 0, 255)",c,5
109,18,1,[14 19],"(0, 255, 0)",r,5
110,18,2,[36 29],"(255, 0, 0)",r,5
111,18,3,[66 12],"(0, 156, 255)",r,5
112,18,4,[58 66],"(128, 128, 128)",c,5
113,18,5,[22 48],"(0, 255, 255)",c,5
114,19,0,[33 22],"(0, 0, 255)",r,5
115,19,1,[57 53],"(0, 255, 0)",r,5
116,19,2,[64 26],"(255, 0, 0)",r,5
117,19,3,[14 15],"(0, 156, 255)",r,5
118,19,4,[51 43],"(128, 128, 128)",c,5
119,19,5,[24 65],"(0, 255, 255)",r,5
120,20,0,[11 28],"(0, 0, 255)",c,5
121,20,1,[36  5],"(0, 255, 0)",c,5
122,20,2,[14  7],"(255, 0, 0)",r,5
123,20,3,[52 30],"(0, 156, 255)",c,5
124,20,4,[24  9],"(128, 128, 128)",r,5
125,20,5,[57  9],"(0, 255, 255)",r,5
126,21,0,[27 67],"(0, 0, 255)",c,5
127,21,1,[64 45],"(0, 255, 0)",c,5
128,21,2,[28 36],"(255, 0, 0)",r,5
129,21,3,[63 32],"(0, 156, 255)",c,5
130,21,4,[35 23],"(128, 128, 128)",c,5
131,21,5,[41 64],"(0, 255, 255)",r,5
132,22,0,[61 61],"(0, 0, 255)",c,5
133,22,1,[ 6 53],"(0, 255, 0)",r,5
134,22,2,[28 58],"(255, 0, 0)",c,5
135,22,3,[28 47],"(0, 156, 255)",c,5
136,22,4,[66 35],"(128, 128, 128)",c,5
137,22,5,[37 23],"(0, 255, 255)",r,5
138,23,0,[14 34],"(0, 0, 255)",r,5
139,23,1,[35 63],"(0, 255, 0)",c,5
140,23,2,[44 30],"(255, 0, 0)",r,5
141,23,3,[58 65],"(0, 156, 255)",r,5
142,23,4,[31 11],"(128, 128, 128)",c,5
143,23,5,[45 18],"(0, 255, 255)",r,5
144,24,0,[69 56],"(0, 0, 255)",c,5
145,24,1,[11 61],"(0, 255, 0)",c,5
146,24,2,[26 64],"(255, 0, 0)",c,5
147,24,3,[35 50],"(0, 156, 255)",r,5
148,24,4,[62 24],"(128, 128, 128)",c,5
149,24,5,[36 65],"(0, 255, 255)",r,5
150,25,0,[38 22],"(0, 0, 255)",r,5
151,25,1,[ 5 46],"(0, 255, 0)",r,5
152,25,2,[67 39],"(255, 0, 0)",r,5
153,25,3,[29 17],"(0, 156, 255)",c,5
154,25,4,[55 68],"(128, 128, 128)",r,5
155,25,5,[28 65],"(0, 255, 255)",r,5
156,26,0,[23 67],"(0, 0, 255)",c,5
157,26,1,[14 28],"(0, 255, 0)",c,5
158,26,2,[45 11],"(255, 0, 0)",c,5
159,26,3,[37 17],"(0, 156, 255)",c,5
160,26,4,[56 50],"(128, 128, 128)",r,5
161,26,5,[22 11],"(0, 255, 255)",c,5
162,27,0,[62 62],"(0, 0, 255)",c,5
163,27,1,[11 23],"(0, 255, 0)",r,5
164,27,2,[35 11],"(255, 0, 0)",c,5
165,27,3,[18 58],"(0, 156, 255)",r,5
166,27,4,[66 45],"(128, 128, 128)",r,5
167,27,5,[43 21],"(0, 255, 255)",c,5
168,28,0,[52 43],"(0, 0, 255)",c,5
169,28,1,[ 5 53],"(0, 255, 0)",c,5
170,28,2,[36  5],"(255, 0, 0)",c,5
171,28,3,[24 68],"(0, 156, 255)",c,5
172,28,4,[43 59],"(128, 128, 128)",r,5
173,28,5,[17 26],"(0, 255, 255)",c,5
174,29,0,[23 50],"(0, 0, 255)",c,5
175,29,1,[64 65],"(0, 255, 0)",r,5
176,29,2,[17 33],"(255, 0, 0)",c,5
177,29,3,[16 18],"(0, 156, 255)",c,5
178,29,4,[ 7 38],"(128, 128, 128)",c,5
179,29,5,[14  7],"(0, 255, 255)",r,5
180,30,0,[48 22],"(0, 0, 255)",r,5
181,30,1,[58 55],"(0, 255, 0)",r,5
182,30,2,[11 41],"(255, 0, 0)",r,5
183,30,3,[21 67],"(0, 156, 255)",r,5
184,30,4,[27 20],"(128, 128, 128)",r,5
185,30,5,[14  7],"(0, 255, 255)",r,5
186,31,0,[11 64],"(0, 0, 255)",r,5
187,31,1,[41 30],"(0, 255, 0)",c,5
188,31,2,[13 11],"(255, 0, 0)",c,5
189,31,3,[25 61],"(0, 156, 255)",r,5
190,31,4,[10 44],"(128, 128, 128)",r,5
191,31,5,[66 55],"(0, 255, 255)",r,5
192,32,0,[30 45],"(0, 0, 255)",r,5
193,32,1,[29 60],"(0, 255, 0)",c,5
194,32,2,[ 7 10],"(255, 0, 0)",r,5
195,32,3,[14 30],"(0, 156, 255)",c,5
196,32,4,[58 60],"(128, 128, 128)",c,5
197,32,5,[68 12],"(0, 255, 255)",c,5
198,33,0,[44 62],"(0, 0, 255)",r,5
199,33,1,[43 36],"(0, 255, 0)",c,5
200,33,2,[64 32],"(255, 0, 0)",c,5
201,33,3,[44 13],"(0, 156, 255)",r,5
202,33,4,[ 8 19],"(128, 128, 128)",r,5
203,33,5,[14 69],"(0, 255, 255)",r,5
204,34,0,[20 69],"(0, 0, 255)",r,5
205,34,1,[57 52],"(0, 255, 0)",c,5
206,34,2,[31 58],"(255, 0, 0)",c,5
207,34,3,[21 30],"(0, 156, 255)",r,5
208,34,4,[ 9 14],"(128, 128, 128)",c,5
209,34,5,[30 41],"(0, 255, 255)",r,5
210,35,0,[57 59],"(0, 0, 255)",c,5
211,35,1,[30 46],"(0, 255, 0)",c,5
212,35,2,[23 16],"(255, 0, 0)",r,5
213,35,3,[8 6],"(0, 156, 255)",r,5
214,35,4,[22 55],"(128, 128, 128)",r,5
215,35,5,[49 53],"(0, 255, 255)",c,5
216,36,0,[25 21],"(0, 0, 255)",c,5
217,36,1,[40 34],"(0, 255, 0)",r,5
218,36,2,[12 33],"(255, 0, 0)",c,5
219,36,3,[ 7 65],"(0, 156, 255)",r,5
220,36,4,[ 5 19],"(128, 128, 128)",r,5
221,36,5,[20 49],"(0, 255, 255)",r,5
222,37,0,[20 55],"(0, 0, 255)",c,5
223,37,1,[39 57],"(0, 255, 0)",r,5
224,37,2,[19 35],"(255, 0, 0)",r,5
225,37,3,[33 39],"(0, 156, 255)",c,5
226,37,4,[64 19],"(128, 128, 128)",r,5
227,37,5,[17 68],"(0, 255, 255)",c,5
228,38,0,[ 7 14],"(0, 0, 255)",c,5
229,38,1,[35 37],"(0, 255, 0)",c,5
230,38,2,[24 35],"(255, 0, 0)",c,5
231,38,3,[13 22],"(0, 156, 255)",c,5
232,38,4,[53 21],"(128, 128, 128)",r,5
233,38,5,[37 22],"(0, 255, 255)",r,5
234,39,0,[63 16],"(0, 0, 255)",r,5
235,39,1,[38 12],"(0, 255, 0)",c,5
236,39,2,[11  9],"(255, 0, 0)",c,5
237,39,3,[67  5],"(0, 156, 255)",r,5
238,39,4,[26 25],"(128, 128, 128)",c,5
239,39,5,[42 55],"(0, 255, 255)",r,5
240,40,0,[63 11],"(0, 0, 255)",c,5
241,40,1,[51 17],"(0, 255, 0)",r,5
242,40,2,[66 54],"(255, 0, 0)",c,5
243,40,3,[56 32],"(0, 156, 255)",r,5
244,40,4,[26 58],"(128, 128, 128)",c,5
245,40,5,[18 39],"(0, 255, 255)",r,5
246,41,0,[54 28],"(0, 0, 255)",c,5
247,41,1,[58 56],"(0, 255, 0)",c,5
248,41,2,[17 15],"(255, 0, 0)",c,5
249,41,3,[42 36],"(0, 156, 255)",r,5
250,41,4,[ 5 43],"(128, 128, 128)",c,5
251,41,5,[30 27],"(0, 255, 255)",r,5
252,42,0,[49 51],"(0, 0, 255)",r,5
253,42,1,[18 36],"(0, 255, 0)",c,5
254,42,2,[51 41],"(255, 0, 0)",r,5
255,42,3,[36 18],"(0, 156, 255)",c,5
256,42,4,[52 23],"(128, 128, 128)",r,5
257,42,5,[30 68],"(0, 255, 255)",r,5
258,43,0,[10 28],"(0, 0, 255)",c,5
259,43,1,[24 35],"(0, 255, 0)",c,5
260,43,2,[ 9 12],"(255, 0, 0)",c,5
261,43,3,[56 69],"(0, 156, 255)",r,5
262,43,4,[32 60],"(128, 128, 128)",c,5
263,43,5,[ 5 48],"(0, 255, 255)",r,5
264,44,0,[48 67],"(0, 0, 255)",c,5
265,44,1,[69  9],"(0, 255, 0)",r,5
266,44,2,[11 29],"(255, 0, 0)",c,5
267,44,3,[28 32],"(0, 156, 255)",r,5
268,44,4,[55  7],"(128, 128, 128)",r,5
269,44,5,[61 23],"(0, 255, 255)",c,5
270,45,0,[17 29],"(0, 0, 255)",c,5
271,45,1,[42 69],"(0, 255, 0)",r,5
272,45,2,[63  5],"(255, 0, 0)",c,5
273,45,3,[69 18],"(0, 156, 255)",c,5
274,45,4,[26 42],"(128, 128, 128)",c,5
275,45,5,[27 25],"(0, 255, 255)",r,5
276,46,0,[55 53],"(0, 0, 255)",c,5
